rank,title,artist,url,peak,is_new_entry,start,end,years_on_chart,release_date,last_views,last_rank
1,GANGNAM STYLE(강남스타일),PSY,https://www.youtube.com/watch?v=9bZkp7q19f0,1,false,00:01:00,00:01:15,15,2012.07.15,6016364561,1
2,How You Like That,BLACKPINK,https://www.youtube.com/watch?v=32si5cfrCNc,2,false,00:01:00,00:01:15,7,2020.07.06,3401921021,2
3,Dynamite,BTS (방탄소년단),https://www.youtube.com/watch?v=gdZLi9oWNZg,3,false,00:01:00,00:01:15,7,2020.08.21,3083289279,3
4,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,https://www.youtube.com/watch?v=IHNzOHi8sJs,4,false,00:01:00,00:01:15,9,2018.06.15,2977976463,4
5,Kill This Love,BLACKPINK,https://www.youtube.com/watch?v=2S24-y0Ij3Y,5,false,00:01:00,00:01:15,8,2019.04.04,2776947285,5
6,APT.,ROSÉ & Bruno Mars,https://www.youtube.com/watch?v=ekr2nIex040,6,false,00:01:00,00:01:15,3,2024.10.18,2613006343,6
7,붐바야 (BOOMBAYAH),BLACKPINK,https://www.youtube.com/watch?v=bwmSjveL3Lc,7,false,00:01:00,00:01:15,11,2016.08.08,2232275578,7
8,작은 것들을 위한 시 (Boy With Luv) (feat. Halsey),BTS (방탄소년단),https://www.youtube.com/watch?v=XsX3ATc3FbA,8,false,00:01:00,00:01:15,8,2019.04.12,2056236340,8
9,마지막처럼 (AS IF IT'S YOUR LAST),BLACKPINK,https://www.youtube.com/watch?v=Amq-qlqbjYA,9,false,00:01:00,00:01:15,10,2017.06.22,1847167206,9
10,DNA,BTS (방탄소년단),https://www.youtube.com/watch?v=MBdVXkSdhwU,10,false,00:01:00,00:01:15,10,2017.09.18,1757636536,10
