rank,title,artist,url,peak,is_new_entry,start,end,years_on_chart,last_views,last_rank,release_date
1,Golden,Sony Pictures Animation,https://www.youtube.com/watch?v=yebNIHKAC4A,1,false,00:01:00,00:01:15,1,1609037524,1,2025.06.23
2,What is Love?,TWICE,https://www.youtube.com/watch?v=i0p1bmr0EmE,2,false,00:01:00,00:01:15,1,932627845,2,2018.04.09
3,Soda Pop,Sony Pictures Animation,https://www.youtube.com/watch?v=983bBbJx0Mk,2,false,00:01:00,00:01:15,1,790166894,3,2025.06.23
4,How It's Done,Sony Pictures Animation,https://www.youtube.com/watch?v=QGsevnbItdU,3,false,00:01:00,00:01:15,1,521016900,4,2025.06.23
5,Your Idol,Sony Pictures Animation,https://www.youtube.com/watch?v=cWppAbqm9I8,4,false,00:01:00,00:01:15,1,446263835,5,2025.06.25
6,Magnetic,ILLIT,https://www.youtube.com/watch?v=Vk5-c_v4gMU,4,false,00:01:00,00:01:15,1,333998052,,
7,Gabriela,KATSEYE,https://www.youtube.com/watch?v=co-TFLbaZAE,6,false,00:01:00,00:01:15,1,323097584,,
8,SEVENTEEN () '' Official MV,SEVENTEEN,https://www.youtube.com/watch?v=-GQg25oP0S4,7,false,00:01:00,00:01:15,1,300462990,,
9,Super Shy,NewJeans,https://www.youtube.com/watch?v=ArmDp-zijuc,5,false,00:01:00,00:01:15,1,291733077,,
10,Touch,KATSEYE,https://www.youtube.com/watch?v=l9CZykYZkOQ,5,false,00:01:00,00:01:15,1,285400204,,
11,ANTIFRAGILE,LE SSERAFIM,https://www.youtube.com/watch?v=pyf8cbqyfPs,10,false,00:01:00,00:01:15,1,282268127,,
12,Free,Sony Pictures Animation,https://www.youtube.com/watch?v=fjOeJssZX_Q,5,false,00:01:00,00:01:15,1,209815894,,
13,BABYMONSTER - ' (CHOOM)' M/V,BABYMONSTER,https://www.youtube.com/watch?v=x3eqqoZPV_E,3,false,00:01:00,00:01:15,1,171851183,,
14,It’s Me,ILLIT,https://www.youtube.com/watch?v=bMhDJ0S0OBA,4,false,00:01:00,00:01:15,1,110110374,,
15,ICONIC BY MISTAKE,LE SSERAFIM x ILLIT x KATSEYE,https://www.youtube.com/watch?v=27C4pfRsf9g,5,false,00:01:00,00:01:15,1,99409326,,
